ds,yhat,yhat_lower,yhat_upper
2025-09-13,181.75516986784191,156.0506961510777,206.7063334127482
2025-09-14,178.03566410552762,151.00445834655508,205.86145000900297
2025-09-15,143.78208190014377,118.08557245876123,170.04716681944123
2025-09-16,144.28542991781242,117.59991386559024,170.91931338537304
2025-09-17,142.64492657020355,114.73011578897544,168.13518278976267
2025-09-18,145.43296144032294,118.67037537881401,171.72990434822887
2025-09-19,165.36187286030776,137.9912889831393,191.7485226211294
2025-09-20,184.4707634778386,158.02070359533778,212.1722139194384
2025-09-21,180.75125771552416,153.91618990752028,206.76567208694536
2025-09-22,146.4976755101404,121.63115207799525,172.97476534583697
2025-09-23,147.00102352784165,118.79418153020805,174.017758656519
2025-09-24,145.36052018024728,118.52319483690383,173.46973412778706
2025-09-25,148.14855505033614,119.84934837742561,173.04725836402974
2025-09-26,168.0774664703738,141.50633805637383,193.55022474765445
2025-09-27,187.18635708785627,159.72644653246024,211.89528855123373
2025-09-28,183.4668513255132,158.09604814106612,209.54783736807755
2025-09-29,149.2132691201464,122.62533102126541,176.13771647578568
2025-09-30,149.71661713787094,124.95879054902053,175.93006940893534
2025-10-01,148.0761137902448,121.95041014299585,176.36570612295324
2025-10-02,150.86414866034931,124.40949226733126,175.75878945087425
2025-10-03,170.79306008038958,142.43478922207217,196.67117092968985
2025-10-04,189.90195069789203,164.22826520956156,216.57928861902906
2025-10-05,186.18244493551717,160.33039176778598,214.62034964936345
2025-10-06,151.9288627302273,123.7432812963799,179.21059393630782
2025-10-07,152.43221074786848,125.0924673647298,178.2925368745413
2025-10-08,150.79170740026464,123.75052487366025,177.5758999515288
2025-10-09,153.57974227033662,126.75877193568401,179.23051863188803
2025-10-10,173.50865369043046,146.46382835645267,203.85729558865648
2025-10-11,192.61754430792777,166.59219974426728,217.92953793222816
2025-10-12,188.89803854561566,163.0848296921926,213.48424929284985
